<connection object at 0x7f60291a3240; dsn: 'user=lamisplus_etl password=xxx dbname=lamisplus_ods_dwh host=localhost port=5432', closed: 0>
[2025-05-18 04:46:05,024: INFO: familypartnerindex: Successfully executed proc_family_index for Pjak5oARJBf]
[2025-05-18 04:46:05,024: INFO: familypartnerindex: Successfully executed proc_family_index for Uyo9Hpc3vql]
[2025-05-18 04:46:05,024: INFO: familypartnerindex: Successfully executed proc_family_index for x7TBWFDy1GZ]
[2025-05-18 04:46:05,029: INFO: familypartnerindex: Successfully executed proc_family_index for SSB1jXm3jdi]
[2025-05-18 04:46:05,074: INFO: familypartnerindex: Successfully executed proc_family_index for bUhfkjY3yVP]
[2025-05-18 04:46:05,078: INFO: familypartnerindex: Successfully executed proc_family_index for R2bNqBqJUIw]
[2025-05-18 04:46:05,093: INFO: familypartnerindex: Successfully executed proc_family_index for qY7ZkVcos1O]
[2025-05-18 04:46:05,095: INFO: familypartnerindex: Successfully executed proc_partner_index for KXoSesiSLeE]
[2025-05-18 04:46:05,100: INFO: familypartnerindex: Successfully executed proc_family_index for VZCEov8JZIe]
[2025-05-18 04:46:05,117: INFO: familypartnerindex: Successfully executed proc_family_index for l01zG9ePfqt]
[2025-05-18 04:46:05,122: INFO: familypartnerindex: Successfully executed proc_family_index for W387n0fbylW]
[2025-05-18 04:46:05,146: INFO: familypartnerindex: Successfully executed proc_family_index for KrHj7Ycvctj]
[2025-05-18 04:46:05,196: INFO: familypartnerindex: Successfully executed proc_family_index for KXoSesiSLeE]
[2025-05-18 04:46:05,197: INFO: familypartnerindex: Batch of 25 procedures executed successfully for datim_ids: ['R2bNqBqJUIw', 'RoxOslFYbmA', 'x7TBWFDy1GZ', 'gF8UahvIXw9', 'DPA6BxE9pzQ', 'q1D4GdFPtqJ', 'rmGHrOrVW9r', 'B0V6x5le9Tj', 'zxSXLppge0P', 'JPBcTpp6XUu', 'Uyo9Hpc3vql', 'wr9dSNAmnWp', 'GHUokYisiZe', 'hozfIkuo4eE', 'DgTi7GSbUAE', 'Pjak5oARJBf', 'bUhfkjY3yVP', 'WjDvZSLT4i5', 'KrHj7Ycvctj', 'W387n0fbylW', 'qY7ZkVcos1O', 'VZCEov8JZIe', 'SSB1jXm3jdi', 'l01zG9ePfqt', 'KXoSesiSLeE']]
[2025-05-18 04:46:05,533: INFO: familypartnerindex: Successfully executed proc_partner_index for nX6ReqpEjKZ]
[2025-05-18 04:46:05,646: INFO: familypartnerindex: Successfully executed proc_partner_index for cVnKorgLC9B]
[2025-05-18 04:46:05,678: INFO: familypartnerindex: Successfully executed proc_partner_index for wAZ9LXoASUu]
[2025-05-18 04:46:05,679: INFO: familypartnerindex: Successfully executed proc_partner_index for OQYeCajbh5G]
[2025-05-18 04:46:05,683: INFO: familypartnerindex: Successfully executed proc_partner_index for DqWvsU2R8rw]
[2025-05-18 04:46:05,683: INFO: familypartnerindex: Successfully executed proc_partner_index for J2AZkcaFst0]
[2025-05-18 04:46:05,683: INFO: familypartnerindex: Successfully executed proc_partner_index for Nx613mKHzsk]
[2025-05-18 04:46:05,684: INFO: familypartnerindex: Successfully executed proc_partner_index for GbtTSJLBKbI]
[2025-05-18 04:46:05,714: INFO: familypartnerindex: Successfully executed proc_partner_index for z6APuLTiHAX]
[2025-05-18 04:46:05,714: INFO: familypartnerindex: Successfully executed proc_partner_index for oN0Woo9C7qb]
[2025-05-18 04:46:05,714: INFO: familypartnerindex: Successfully executed proc_partner_index for JcYmXdOSndf]
[2025-05-18 04:46:05,714: INFO: familypartnerindex: Successfully executed proc_partner_index for XyFDmlevgCu]
[2025-05-18 04:46:05,715: INFO: familypartnerindex: Successfully executed proc_partner_index for gfEDfny3Hp0]
[2025-05-18 04:46:05,715: INFO: familypartnerindex: Successfully executed proc_partner_index for Aocjg00w77E]
[2025-05-18 04:46:05,716: INFO: familypartnerindex: Successfully executed proc_partner_index for bxBIxJ7LJ4Q]
[2025-05-18 04:46:05,725: INFO: familypartnerindex: Successfully executed proc_partner_index for VUQpWeYseot]
[2025-05-18 04:46:05,741: INFO: familypartnerindex: Successfully executed proc_partner_index for o1xyfiaFzDG]
[2025-05-18 04:46:05,768: INFO: familypartnerindex: Successfully executed proc_partner_index for gxpWWY8YvrW]
[2025-05-18 04:46:05,774: INFO: familypartnerindex: Successfully executed proc_family_index for oN0Woo9C7qb]
[2025-05-18 04:46:05,784: INFO: familypartnerindex: Successfully executed proc_partner_index for FQ0Jc3pO5Op]
[2025-05-18 04:46:05,795: INFO: familypartnerindex: Successfully executed proc_family_index for FLdJ1UojpI5]
[2025-05-18 04:46:05,806: INFO: familypartnerindex: Successfully executed proc_partner_index for FLdJ1UojpI5]
[2025-05-18 04:46:05,808: INFO: familypartnerindex: Successfully executed proc_partner_index for fakjSY6P1ED]
[2025-05-18 04:46:05,825: INFO: familypartnerindex: Successfully executed proc_partner_index for LN72HGCti4v]
[2025-05-18 04:46:05,838: INFO: familypartnerindex: Successfully executed proc_partner_index for FWEjuDChsDH]
[2025-05-18 04:46:05,839: INFO: familypartnerindex: Successfully executed proc_partner_index for RxLmSTf6Kpl]
[2025-05-18 04:46:05,845: INFO: familypartnerindex: Successfully executed proc_family_index for DqWvsU2R8rw]
[2025-05-18 04:46:05,852: INFO: familypartnerindex: Successfully executed proc_family_index for gfEDfny3Hp0]
[2025-05-18 04:46:05,854: INFO: familypartnerindex: Successfully executed proc_family_index for OQYeCajbh5G]
[2025-05-18 04:46:05,856: INFO: familypartnerindex: Successfully executed proc_family_index for J2AZkcaFst0]
[2025-05-18 04:46:05,861: INFO: familypartnerindex: Successfully executed proc_family_index for nX6ReqpEjKZ]
[2025-05-18 04:46:05,867: INFO: familypartnerindex: Successfully executed proc_family_index for Nx613mKHzsk]
[2025-05-18 04:46:05,872: INFO: familypartnerindex: Successfully executed proc_family_index for VUQpWeYseot]
[2025-05-18 04:46:05,872: INFO: familypartnerindex: Successfully executed proc_family_index for cVnKorgLC9B]
[2025-05-18 04:46:05,873: INFO: familypartnerindex: Successfully executed proc_family_index for Aocjg00w77E]
[2025-05-18 04:46:05,875: INFO: familypartnerindex: Successfully executed proc_family_index for gxpWWY8YvrW]
[2025-05-18 04:46:05,876: INFO: familypartnerindex: Successfully executed proc_family_index for RxLmSTf6Kpl]
[2025-05-18 04:46:05,895: INFO: familypartnerindex: Successfully executed proc_family_index for wAZ9LXoASUu]
[2025-05-18 04:46:05,916: INFO: familypartnerindex: Successfully executed proc_family_index for LN72HGCti4v]
[2025-05-18 04:46:05,965: INFO: familypartnerindex: Successfully executed proc_family_index for GbtTSJLBKbI]
[2025-05-18 04:46:05,972: INFO: familypartnerindex: Successfully executed proc_family_index for FWEjuDChsDH]
[2025-05-18 04:46:05,984: INFO: familypartnerindex: Successfully executed proc_family_index for XyFDmlevgCu]
[2025-05-18 04:46:06,008: INFO: familypartnerindex: Successfully executed proc_family_index for JcYmXdOSndf]
[2025-05-18 04:46:06,037: INFO: familypartnerindex: Successfully executed proc_family_index for o1xyfiaFzDG]
[2025-05-18 04:46:06,158: INFO: familypartnerindex: Successfully executed proc_family_index for z6APuLTiHAX]
[2025-05-18 04:46:06,228: INFO: familypartnerindex: Successfully executed proc_family_index for FQ0Jc3pO5Op]
[2025-05-18 04:46:06,414: INFO: familypartnerindex: Successfully executed proc_family_index for bxBIxJ7LJ4Q]
[2025-05-18 04:46:07,462: INFO: familypartnerindex: Successfully executed proc_family_index for fakjSY6P1ED]
[2025-05-18 04:46:07,463: INFO: familypartnerindex: Batch of 24 procedures executed successfully for datim_ids: ['DqWvsU2R8rw', 'cVnKorgLC9B', 'wAZ9LXoASUu', 'J2AZkcaFst0', 'nX6ReqpEjKZ', 'oN0Woo9C7qb', 'fakjSY6P1ED', 'o1xyfiaFzDG', 'XyFDmlevgCu', 'gxpWWY8YvrW', 'RxLmSTf6Kpl', 'JcYmXdOSndf', 'LN72HGCti4v', 'OQYeCajbh5G', 'gfEDfny3Hp0', 'bxBIxJ7LJ4Q', 'z6APuLTiHAX', 'VUQpWeYseot', 'Aocjg00w77E', 'GbtTSJLBKbI', 'Nx613mKHzsk', 'FLdJ1UojpI5', 'FWEjuDChsDH', 'FQ0Jc3pO5Op']]
[2025-05-18 04:46:07,799: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for w4gxim2NiVj]
[2025-05-18 04:46:07,851: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for dlzwTad81iz]
[2025-05-18 04:46:07,869: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for eJDSKTK7sO8]
[2025-05-18 04:46:07,880: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for RRPYgMWYw4h]
[2025-05-18 04:46:07,886: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for DVlcYRf680L]
[2025-05-18 04:46:07,913: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for wC0drfSNmV4]
[2025-05-18 04:46:07,916: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for sP8QEwb0SXo]
[2025-05-18 04:46:07,917: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for zZXDNWVezMV]
[2025-05-18 04:46:07,921: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for M0b885TVP1Q]
[2025-05-18 04:46:07,952: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for KGNkYub5Oxq]
[2025-05-18 04:46:07,952: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for wRBooaCoKz6]
[2025-05-18 04:46:07,956: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for sBzJ4tnvCMD]
[2025-05-18 04:46:07,956: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for RFVNndb3OKN]
[2025-05-18 04:46:07,958: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for RWQP4pGxyYS]
[2025-05-18 04:46:07,959: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for C8zbhPQNbPk]
[2025-05-18 04:46:07,965: INFO: familypartnerindex: Successfully executed familypartnerindex_joined for YFOBz4PMuNV]
