table_schema,table_name,total_size
public,ods_triage_vital_sign_40,50 MB
public,cte_current_regimen,8192 bytes
public,ods_laboratory_test_9,129 MB
public,ods_laboratory_result_59,18 MB
maternal_cohort,pmtct_anc,5656 kB
public,ods_laboratory_result_57,150 MB
public,ods_laboratory_result_58,53 MB
pmtct_hts,pmtct_anc,6240 kB
public,ods_laboratory_test_30,159 MB
maternal_cohort,pmtct_delivery,144 kB
maternal_cohort,target_statuses,72 kB
public,ods_laboratory_test_17,230 MB
maternal_cohort,target_pharmacies,680 kB
public,ods_patient_person_40,56 MB
public,ods_patient_person_41,29 MB
public,ods_patient_person_46,170 MB
public,ods_patient_person_47,74 MB
public,ods_patient_person_53,132 MB
public,ods_hiv_art_pharmacy_regimens_47,125 MB
public,ods_hiv_art_pharmacy_regimens_49,114 MB
public,ods_laboratory_sample_6,63 MB
public,ods_laboratory_test_18,111 MB
public,ods_laboratory_test_19,95 MB
public,ods_laboratory_test_20,28 MB
public,ods_laboratory_test_41,20 MB
public,ods_laboratory_test_42,79 MB
public,ods_laboratory_test_56,84 MB
public,ods_laboratory_test_57,170 MB
public,ods_laboratory_test_58,76 MB
public,ods_laboratory_test_59,27 MB
public,ods_laboratory_test_60,40 MB
public,ods_base_organisation_unit_1,6680 kB
public,ods_base_organisation_unit_2,9312 kB
public,ods_base_organisation_unit_3,13 MB
public,ods_base_organisation_unit_4,13 MB
public,ods_base_organisation_unit_6,16 MB
public,ods_base_organisation_unit_7,11 MB
public,ods_base_organisation_unit_8,11 MB
public,temp_ods_pmtct_mother_visitation,16 kB
public,ods_base_organisation_unit_9,11 MB
public,ods_base_organisation_unit_10,18 MB
public,ods_base_organisation_unit_11,22 MB
public,ods_sync_facility_app_key,8192 bytes
public,ods_patient_person_8,225 MB
public,ods_base_organisation_unit_12,15 MB
public,ods_base_organisation_unit_13,8456 kB
public,ods_base_organisation_unit_15,25 MB
public,ods_base_organisation_unit_16,16 MB
public,ods_base_organisation_unit_17,13 MB
public,ods_base_organisation_unit_20,18 MB
public,ods_sync_config_module,8192 bytes
public,ods_hiv_status_tracker_13,1257 MB
public,ods_hiv_status_tracker_2,1010 MB
public,ods_hiv_art_pharmacy_11,561 MB
public,ods_hiv_art_pharmacy_14,512 MB
public,ods_hiv_status_tracker_6,243 MB
public,ods_hiv_status_tracker_7,637 MB
public,ods_hiv_enrollment_8,108 MB
public,ods_hiv_enrollment_7,84 MB
public,ods_hiv_enrollment_9,65 MB
public,ods_patient_person_9,95 MB
public,ods_patient_person_10,161 MB
public,ods_hiv_enrollment_10,108 MB
public,ods_hiv_enrollment_11,63 MB
public,ods_hiv_enrollment_18,82 MB
public,ods_hiv_enrollment_19,63 MB
public,ods_hiv_art_pharmacy_1,722 MB
public,ods_hiv_enrollment_20,36 MB
public,ods_hiv_status_tracker_9,899 MB
public,ods_hiv_status_tracker_10,1039 MB
public,ods_hiv_art_pharmacy_3,91 MB
public,ods_hiv_status_tracker_18,265 MB
public,ods_hiv_status_tracker_19,145 MB
public,ods_hiv_art_pharmacy_regimens_1,87 MB
public,ods_hiv_art_pharmacy_16,422 MB
public,ods_hiv_art_pharmacy_17,463 MB
public,ods_hiv_art_pharmacy_regimens_2,231 MB
public,ods_patient_person_30,259 MB
public,ods_hiv_art_pharmacy_regimens_3,75 MB
public,ods_hiv_art_pharmacy_7,260 MB
expanded_radet,central_data_element_weekly,56 kB
public,ods_hiv_art_pharmacy_18,623 MB
public,ods_hiv_art_pharmacy_19,446 MB
public,sti_screening,72 kB
expanded_radet,expanded_radet_weekly_2024w24,721 MB
public,ods_hiv_art_pharmacy_21,446 MB
public,ods_hiv_art_pharmacy_22,1122 MB
public,ods_hiv_art_pharmacy_regimens_13,251 MB
hts_prep_datamart,central_partner_mapping,120 kB
hts_prep_datamart,hts_process_log,320 kB
public,ods_hiv_art_pharmacy_regimens_35,114 MB
public,ods_hiv_art_pharmacy_regimens_36,216 MB
public,ods_hiv_art_pharmacy_regimens_50,81 MB
public,ods_laboratory_sample_16,66 MB
public,ods_laboratory_sample_17,148 MB
public,pp_exception_checks,48 kB
public,ods_laboratory_sample_18,80 MB
public,ods_laboratory_sample_19,62 MB
hts_prep_datamart,hts_client_duplication_logic,195 MB
public,ods_laboratory_sample_20,21 MB
public,ods_patient_person_35,136 MB
public,ods_laboratory_sample_21,149 MB
public,ods_laboratory_sample_22,217 MB
public,ods_hiv_art_pharmacy_regimens_24,140 MB
public,ods_remote_key,8192 bytes
public,ods_laboratory_sample_23,66 MB
public,ods_laboratory_sample_24,47 MB
public,ods_laboratory_sample_25,143 MB
public,ods_laboratory_sample_29,29 MB
public,ods_laboratory_sample_30,115 MB
public,ods_laboratory_sample_31,13 MB
public,ods_laboratory_sample_32,122 MB
public,ods_laboratory_sample_33,19 MB
public,ods_laboratory_sample_34,15 MB
public,ods_laboratory_sample_35,28 MB
public,ods_laboratory_sample_36,40 MB
public,ods_laboratory_sample_37,69 MB
public,ods_laboratory_sample_38,19 MB
public,ods_base_organisation_unit_58,14 MB
public,ods_base_organisation_unit_59,18 MB
public,ods_laboratory_sample_39,163 MB
public,ods_laboratory_sample_42,54 MB
public,ods_laboratory_sample_43,63 MB
public,ods_laboratory_sample_44,14 MB
public,ods_laboratory_sample_45,40 MB
public,ods_laboratory_sample_46,65 MB
public,ods_laboratory_sample_47,17 MB
public,ods_laboratory_sample_48,227 MB
public,ods_laboratory_sample_49,22 MB
public,ods_laboratory_sample_50,25 MB
public,ods_laboratory_sample_51,78 MB
public,ods_laboratory_sample_52,64 MB
public,ods_laboratory_result_1,10 MB
public,ods_laboratory_result_2,165 MB
public,ods_laboratory_result_3,4088 kB
public,ods_laboratory_result_5,30 MB
public,ods_laboratory_sample_55,91 MB
public,ods_laboratory_sample_56,59 MB
public,ods_laboratory_sample_57,109 MB
public,ods_laboratory_result_6,116 MB
public,ods_laboratory_result_7,53 MB
public,ods_laboratory_test_1,15 MB
public,ods_laboratory_result_8,172 MB
public,ods_laboratory_result_10,71 MB
public,ods_laboratory_result_11,89 MB
public,ods_laboratory_result_12,33 MB
public,ods_laboratory_result_13,50 MB
public,ods_laboratory_result_15,29 MB
public,ods_laboratory_sample_58,53 MB
public,ods_laboratory_sample_59,19 MB
public,ods_laboratory_sample_60,30 MB
public,ods_laboratory_result_26,19 MB
public,ods_laboratory_result_27,100 MB
public,ods_laboratory_result_29,26 MB
public,ods_laboratory_result_30,120 MB
public,ods_laboratory_result_32,124 MB
public,ods_laboratory_test_5,41 MB
